gene1	gene2	pValue	oddsRatio	00	01	11	10	pAdj	Event	pair	event_ratio
APC	PTEN	0.32717887547476454	0.504750485710561	276	31	3	53	0.7132673871918609	Mutually_Exclusive	APC, PTEN	3/84
ARID2	RB1	0.32753238419850245	0.31102808908403673	288	16	1	58	0.7132673871918609	Mutually_Exclusive	ARID2, RB1	1/74
KIT	SNX31	0.34247281910320987	1.805739073874832	323	17	2	21	0.7341821997796961	Co_Occurence	KIT, SNX31	2/38
MAP2K1	SNX31	0.34247281910320987	1.805739073874832	323	17	2	21	0.7341821997796961	Co_Occurence	MAP2K1, SNX31	2/38
APC	PIK3CA	0.3441846152567215	1.7797258046988085	291	16	5	51	0.7341821997796961	Co_Occurence	APC, PIK3CA	5/67
ARID2	TP53	0.34676819631866374	1.4341070437996755	254	50	13	46	0.7346783820310675	Co_Occurence	ARID2, TP53	13/96
MITF	SNX31	0.35235401650361353	2.6633447369074195	337	18	1	7	0.7389124166652287	Co_Occurence	MITF, SNX31	1/25
NRAS	GNAQ	0.3537002878293723	0.4276210685761738	239	10	2	112	0.7389124166652287	Mutually_Exclusive	GNAQ, NRAS	2/122
BRAF	CCND1	0.3558602198659734	0.30751295814402735	172	3	1	187	0.7389124166652287	Mutually_Exclusive	BRAF, CCND1	1/190
GNA11	MAP2K2	0.366566789796899	2.494239596054935	338	9	1	15	0.7561196159176966	Co_Occurence	GNA11, MAP2K2	1/24
CDK4	PTEN	0.37933084561326624	0	315	34	0	14	0.7753685728074506	Mutually_Exclusive	CDK4, PTEN	0/48
GNAQ	CDK4	0.3808610429630197	2.3554893615427983	338	13	1	11	0.7753685728074506	Co_Occurence	CDK4, GNAQ	1/24
PIK3CA	TP53	0.38336853834682677	1.5281541741254627	284	58	5	16	0.7754218008633227	Co_Occurence	PIK3CA, TP53	5/74
RB1	PTEN	0.38633921564674545	0	312	34	0	17	0.7764051761389582	Mutually_Exclusive	PTEN, RB1	0/51
TP53	PPP6C	0.409088973179722	1.554646958530448	281	19	6	57	0.8168709528349086	Co_Occurence	PPP6C, TP53	6/76
BRAF	RAC1	0.41577694461118186	0.663656398818457	160	15	11	177	0.8209087954820188	Mutually_Exclusive	BRAF, RAC1	11/192
BRAF	CDK4	0.4190552623007841	1.7070320277696653	170	5	9	179	0.8209087954820188	Co_Occurence	BRAF, CDK4	9/184
MAP2K2	SNX31	0.41991698971629465	2.062267615132502	335	18	1	9	0.8209087954820188	Co_Occurence	MAP2K2, SNX31	1/27
TP53	RAC1	0.42232555020666906	1.4719357026109592	280	20	6	57	0.8209087954820188	Co_Occurence	RAC1, TP53	6/77
RB1	NRAS	0.42424566550510706	1.5615081225056282	239	107	7	10	0.8209087954820188	Co_Occurence	NRAS, RB1	7/117
MITF	PPP6C	0.4382192212132144	1.9653980169717757	331	24	1	7	0.842729271563874	Co_Occurence	MITF, PPP6C	1/31
SNX31	NRAS	0.4477922089732523	0.5680678842284809	234	110	4	15	0.853066012270441	Mutually_Exclusive	NRAS, SNX31	4/125
GNA11	BRAF	0.44905394885916017	1.5804295771263595	169	178	10	6	0.853066012270441	Co_Occurence	BRAF, GNA11	10/184
NF1	GNAQ	0.45665199417984115	1.5516231939766854	289	9	3	62	0.8622582971673746	Co_Occurence	GNAQ, NF1	3/71
APC	CDK4	0.46103817386129375	1.5211436781954748	296	11	3	53	0.8634949135787983	Co_Occurence	APC, CDK4	3/64
MAP2K1	PTEN	0.4639776880311894	1.4932488722096817	309	31	3	20	0.8634949135787983	Co_Occurence	MAP2K1, PTEN	3/51
PTEN	ARID2	0.46624029074508067	1.379714696045004	277	52	7	27	0.8634949135787983	Co_Occurence	ARID2, PTEN	7/79
CDK4	GNA11	0.4742627469552	1.7096288715041759	334	15	1	13	0.8634949135787983	Co_Occurence	CDK4, GNA11	1/28
NF1	PTEN	0.4801723669613505	0.5865600579357845	268	30	4	61	0.8634949135787983	Mutually_Exclusive	NF1, PTEN	4/91
CCND1	CDKN2A	0.4832440812835971	1.878635998522721	305	54	1	3	0.8634949135787983	Co_Occurence	CCND1, CDKN2A	1/57
GNA11	CDKN2A	0.48356999602130124	0.36244947674317735	293	54	1	15	0.8634949135787983	Mutually_Exclusive	CDKN2A, GNA11	1/69
MAP2K2	KIT	0.4847548932683624	1.6687849655758824	331	22	1	9	0.8634949135787983	Co_Occurence	KIT, MAP2K2	1/31
MAP2K2	MAP2K1	0.4847548932683624	1.6687849655758824	331	22	1	9	0.8634949135787983	Co_Occurence	MAP2K1, MAP2K2	1/31
CDKN2A	RB1	0.4871301376080428	0.3386670227593399	292	16	1	54	0.8634949135787983	Mutually_Exclusive	CDKN2A, RB1	1/70
APC	CCND1	0.4899551971110825	1.8386445401943419	304	3	1	55	0.8634949135787983	Co_Occurence	APC, CCND1	1/58
TP53	BRAF	0.49046511091275735	0.8174901492732924	142	158	30	33	0.8634949135787983	Mutually_Exclusive	BRAF, TP53	30/191
TP53	GNA11	0.4950307245583355	1.6246116128030967	288	12	4	59	0.866650428148347	Co_Occurence	GNA11, TP53	4/71
GNAQ	PREX2	0.49796364596191656	1.5625796174324018	266	85	4	8	0.8669283529977656	Co_Occurence	GNAQ, PREX2	4/93
SNX31	CDKN2A	0.5068960248211162	1.5299763917411695	293	51	4	15	0.8775900706736778	Co_Occurence	CDKN2A, SNX31	4/66
PPP6C	MAP2K2	0.5146611032634575	1.5210398801023726	329	9	1	24	0.8861244890899752	Co_Occurence	MAP2K2, PPP6C	1/33
RB1	NF1	0.5200029886513853	1.4359867220316762	285	61	4	13	0.8904160764578517	Co_Occurence	NF1, RB1	4/74
SNX31	ARID2	0.5270683056962071	1.3997733477203642	289	55	4	15	0.8960369956303522	Co_Occurence	ARID2, SNX31	4/70
MAP2K2	CTNNB1	0.5290202422201598	1.4560041603541443	328	25	1	9	0.8960369956303522	Co_Occurence	CTNNB1, MAP2K2	1/34
CDK4	SNX31	0.5355335017858522	1.4129589159190699	331	18	1	13	0.9021790798279181	Co_Occurence	CDK4, SNX31	1/31
PTEN	MITF	0.54835077218779	1.3924835163316782	322	7	1	33	0.9188183180090319	Co_Occurence	MITF, PTEN	1/40
PIK3CA	NF1	0.5551033379330738	1.4670218046018328	282	60	5	16	0.9251722298884565	Co_Occurence	NF1, PIK3CA	5/76
MDM2	CDKN2A	0.5624128153487842	1.4059219618614056	304	54	1	4	0.9323819883103189	Co_Occurence	CDKN2A, MDM2	1/58
APC	MDM2	0.5695165034113036	1.375922108267474	303	4	1	55	0.935585787758799	Co_Occurence	APC, MDM2	1/59
RB1	PREX2	0.5757124744878903	1.2986093497440634	262	84	5	12	0.935585787758799	Co_Occurence	PREX2, RB1	5/96
CCND1	PREX2	0.5758619712205865	0	270	89	0	4	0.935585787758799	Mutually_Exclusive	CCND1, PREX2	0/93
ARID2	PPP6C	0.576899803857173	1.3137427383921851	284	20	5	54	0.935585787758799	Co_Occurence	ARID2, PPP6C	5/74
PPP6C	GNAQ	0.5810624138200596	1.237839307598301	327	11	1	24	0.935585787758799	Co_Occurence	GNAQ, PPP6C	1/35
NRAS	GNA11	0.5894776351887503	1.326737804287055	239	10	6	108	0.935585787758799	Co_Occurence	GNA11, NRAS	6/118
MDM2	ARID2	0.5902758541258386	1.292108352131899	300	58	1	4	0.935585787758799	Co_Occurence	ARID2, MDM2	1/62
NF1	MDM2	0.5903146307939341	0	293	5	0	65	0.935585787758799	Mutually_Exclusive	MDM2, NF1	0/70
NF1	PPP6C	0.5912902178635608	0.6077739380687545	276	22	3	62	0.935585787758799	Mutually_Exclusive	NF1, PPP6C	3/84
RB1	SNX31	0.6075322913295688	1.1384581249548489	328	18	1	16	0.9554828602095032	Co_Occurence	RB1, SNX31	1/34
RAC1	CDK4	0.6109012732345855	0	323	14	0	26	0.9554828602095032	Mutually_Exclusive	CDK4, RAC1	0/40
MAP2K1	RB1	0.6136362672354645	0	323	17	0	23	0.9554828602095032	Mutually_Exclusive	MAP2K1, RB1	0/40
CDKN2A	PTEN	0.620277165098975	1.2237668072382093	280	28	6	49	0.9554828602095032	Co_Occurence	CDKN2A, PTEN	6/77
CTNNB1	RB1	0.6222104385684284	0	320	17	0	26	0.9554828602095032	Mutually_Exclusive	CTNNB1, RB1	0/43
RAC1	RB1	0.6222104385684284	0	320	17	0	26	0.9554828602095032	Mutually_Exclusive	RAC1, RB1	0/43
PIK3CA	NRAS	0.6286033993471181	0.668694691986699	233	109	5	16	0.9588237407335467	Mutually_Exclusive	NRAS, PIK3CA	5/125
MITF	TP53	0.6317555901126151	1.6041387551174113	294	61	2	6	0.9588237407335467	Co_Occurence	MITF, TP53	2/67
PTEN	TP53	0.6340878995652904	1.2630222123221395	273	56	7	27	0.9588237407335467	Co_Occurence	PTEN, TP53	7/83
CTNNB1	SNX31	0.6366589638470749	1.566308118426232	320	17	2	24	0.9588237407335467	Co_Occurence	CTNNB1, SNX31	2/41
BRAF	SNX31	0.6428847272694888	1.296390574960068	167	8	11	177	0.9628539719057371	Co_Occurence	BRAF, SNX31	11/185
NRAS	MAP2K1	0.6492687850439861	0.7587066354461216	232	17	6	108	0.9628539719057371	Mutually_Exclusive	MAP2K1, NRAS	6/125
NRAS	MDM2	0.651150104566523	1.4626713084366871	246	3	2	112	0.9628539719057371	Co_Occurence	MDM2, NRAS	2/115
GNA11	PTEN	0.6532622964859282	1.4047481072078305	315	32	2	14	0.9628539719057371	Co_Occurence	GNA11, PTEN	2/46
PIK3CA	RAC1	0.6547407008959012	1.393281999690987	318	24	2	19	0.9628539719057371	Co_Occurence	PIK3CA, RAC1	2/43
KIT	PPP6C	0.6659464710674555	1.3115369571614108	317	23	2	21	0.9657132094856067	Co_Occurence	KIT, PPP6C	2/44
MAP2K1	PPP6C	0.6659464710674555	1.3115369571614108	317	23	2	21	0.9657132094856067	Co_Occurence	MAP2K1, PPP6C	2/44
ARID2	MAP2K2	0.6688335541310071	1.2972323227241054	296	8	2	57	0.9657132094856067	Co_Occurence	ARID2, MAP2K2	2/65
BRAF	MAP2K1	0.6723509472607382	1.2250288940458116	165	10	13	175	0.9657132094856067	Co_Occurence	BRAF, MAP2K1	13/185
